nm,PVK2_5mM,PVK05mM,lactateD2_5mM,lactateD05mM,FeCl11mM,lactateD10mM,PVK10mM,PVK5.0mM,lactateD5mM,lactateD1mM,lactateD01mM,PVK1mM,PVK01mM
604.0610352,97.95990753,98.82640839,98.47328949,98.91743469,99.1163559,98.42715454,96.07234955,97.21585846,98.64092255,99.07341766,99.07843018,98.22332764,98.89977264
603.0209961,97.91013336,98.80026245,98.42938995,98.86254883,99.1262207,98.35311127,95.98719788,97.17972565,98.55925751,99.0018158,99.04200745,98.17185211,98.86236572
601.9805908,97.90014648,98.80641174,98.44072723,98.90996552,99.03025818,98.29371643,95.91572571,97.06336212,98.57260132,99.00554657,99.06145477,98.18367004,98.89063263
600.9399414,97.88265228,98.81031036,98.3718338,98.85682678,99.09236145,98.28491211,95.85456085,97.06672668,98.48461151,99.03018188,99.1063385,98.23247528,98.88711548
600.0477295,97.84397888,98.8513031,98.34563446,98.9246521,99.11433411,98.29160309,95.83515167,97.06282806,98.58090973,99.00373077,99.09832001,98.19931793,98.96233368
599.0065308,97.7722168,98.77650452,98.26422119,98.85177612,99.06726837,98.20515442,95.66712952,96.96964264,98.50196838,99.00457764,99.07472992,98.15122223,98.85385895
597.9650879,97.68598938,98.7935257,98.20832062,98.82762146,99.03497314,98.19618988,95.64305878,96.9146347,98.47462463,98.96665192,99.05646515,98.15198517,98.83372498
597.0722046,97.75262451,98.75639343,98.24517822,98.83992767,99.11480713,98.19018555,95.61837769,96.9067688,98.56494904,98.89526367,98.99960327,98.10211182,98.84187317
596.0302124,97.66729736,98.71006012,98.13837433,98.83364105,98.95309448,98.05846405,95.41545105,96.81624603,98.38419342,98.87610626,98.95881653,98.03263092,98.84241486
594.987915,97.60704803,98.77303314,98.11385345,98.84963989,98.96720886,98.07833099,95.41265869,96.77196503,98.46395874,98.92867279,98.97644806,98.0925293,98.82613373
593.9453735,97.65645599,98.71873474,98.08602142,98.8965683,99.04551697,98.06089783,95.37812042,96.73609161,98.40558624,98.91200256,98.97405243,98.01609802,98.76650238
593.0515747,97.57024384,98.6978302,98.0549469,98.8143692,99.01966858,97.99288177,95.22982788,96.64070129,98.35842896,98.92354584,99.03999329,98.04090118,98.82663727
592.0084839,97.48725128,98.70635986,98.02616119,98.75675964,99.0177002,97.93451691,95.17630768,96.56240082,98.29464722,98.79037476,98.93475342,97.9655304,98.69239807
590.9651489,97.54449463,98.68500519,98.04264069,98.82011414,99.03054047,97.93307495,95.13011932,96.58384705,98.31768036,98.8272171,98.9644165,97.96823883,98.71404266
590.0706177,97.47182465,98.68974304,97.97409821,98.73639679,99.0226059,97.85617828,95.04135132,96.48886108,98.27088928,98.81315613,99.00662231,97.95833588,98.79637146
589.0267334,97.43623352,98.7008667,97.98658752,98.81762695,99.05841064,97.91405487,94.95598602,96.47151947,98.29217529,98.79998016,98.94851685,97.91953278,98.74454498
587.982605,97.47377777,98.64790344,97.91630554,98.76539612,99.02531433,97.7519455,94.87010956,96.42316437,98.22077942,98.83104706,98.87301636,97.91092682,98.69689941
586.9381714,97.37547302,98.59951019,97.92338562,98.70954895,98.99990845,97.75029755,94.72283936,96.27613068,98.21315765,98.80173492,98.97660065,97.93984985,98.71885681
586.0427246,97.31000519,98.59767914,97.8234787,98.68157196,98.89863586,97.67695618,94.63555908,96.20989227,98.12522125,98.78331757,98.88312531,97.84623718,98.72921753
584.9978027,97.31822968,98.64139557,97.90898132,98.74331665,98.97383881,97.74767303,94.58008575,96.20174408,98.1248703,98.74356079,98.89481354,97.86908722,98.71098328
583.9525757,97.31031799,98.57766724,97.87400055,98.70768738,98.96778107,97.6574173,94.52777863,96.14528656,98.10182953,98.76655579,98.82641602,97.74362183,98.5602951
583.0564575,97.17197418,98.50898743,97.82559204,98.67498016,98.94281769,97.65162659,94.37373352,96.09098816,98.09230804,98.76921844,98.88457489,97.76899719,98.67759705
582.0107422,97.180336,98.52289581,97.81009674,98.66194916,98.8732605,97.583992,94.30387115,96.01714325,98.06152344,98.70503998,98.88890839,97.74391937,98.60238647
580.9647827,97.06687927,98.5265274,97.7623291,98.57520294,98.78739929,97.45857239,94.09403229,95.91763306,98.0533371,98.74861145,98.79666901,97.68288422,98.61743927
580.0679932,97.12081909,98.52320862,97.80577087,98.62375641,98.92149353,97.50470734,94.0487442,95.91989136,97.97364044,98.67560577,98.81129456,97.63612366,98.55822754
579.0214844,97.00217438,98.49983978,97.797966,98.65737915,98.91841888,97.51062012,93.96788025,95.86937714,98.00656128,98.6363678,98.74488068,97.58643341,98.53751373
577.9747314,96.90841675,98.36056519,97.71497345,98.55131531,98.76528168,97.31949615,93.72045135,95.60617065,97.89175415,98.62628174,98.79883575,97.6261673,98.52669525
576.9276733,96.89479828,98.4152832,97.7097168,98.54483032,98.79645538,97.33356476,93.66246796,95.61961365,97.85559082,98.614151,98.7779541,97.61367798,98.53108215
576.0299683,96.81971741,98.43618011,97.67056274,98.49219513,98.74702454,97.27114105,93.5918045,95.51068878,97.85231781,98.60579681,98.71481323,97.570961,98.48067474
574.9824219,96.82491302,98.39933777,97.6508255,98.54856873,98.76094055,97.24423981,93.42260742,95.47503662,97.82564545,98.59622192,98.70702362,97.51280212,98.45316315
573.9345703,96.7477951,98.35683441,97.68821716,98.51461029,98.79090881,97.22599792,93.30971527,95.4030838,97.78726959,98.56246185,98.6836319,97.49230194,98.44622803
573.0362549,96.68484497,98.28914642,97.65544128,98.46971893,98.69432831,97.15140533,93.16810608,95.29362488,97.73948669,98.52005005,98.69028473,97.43650055,98.4381485
571.987915,96.5904007,98.22420502,97.58382416,98.47706604,98.68447876,97.02882385,92.98270416,95.17633057,97.63790131,98.51425934,98.6572113,97.36013031,98.42999268
570.93927,96.54917908,98.25681305,97.5500412,98.44195557,98.63326263,96.98426819,92.88166046,95.07563782,97.63493347,98.43567657,98.6180954,97.28265381,98.39421082
570.0402832,96.51083374,98.27523804,97.57969666,98.36227417,98.63661957,96.93871307,92.75553131,94.99307251,97.57208252,98.45546722,98.5674057,97.2660675,98.36930847
568.9912109,96.32626343,98.12901306,97.50499725,98.33250427,98.54232788,96.81809998,92.5566864,94.87120056,97.5164032,98.35785675,98.5068512,97.15785217,98.23413849
567.9418335,96.33335876,98.1084137,97.42942047,98.34108734,98.54628754,96.78794098,92.3565979,94.75295258,97.47428131,98.36387634,98.51126862,97.16039276,98.28056335
567.0421753,96.22676086,98.09927368,97.425354,98.30171204,98.55211639,96.69746399,92.21283722,94.64966583,97.45323181,98.36727142,98.50004578,97.18431854,98.24594879
565.9923096,96.19035339,98.1432724,97.46104431,98.33569336,98.59130096,96.77618408,92.15345764,94.65385437,97.44554138,98.33475494,98.45414734,97.0674057,98.14310455
564.9421387,96.12043762,98.00533295,97.37266541,98.2124939,98.46302795,96.58101654,91.90254211,94.44739532,97.33934784,98.3155899,98.45384216,96.95046234,98.11379242
564.0418091,96.0351944,97.97909546,97.37077332,98.17831421,98.41365051,96.48591614,91.73674011,94.39009857,97.27942657,98.25048065,98.46232605,97.01063538,98.12554932
562.9912109,95.92673492,97.90886688,97.27653503,98.12495422,98.41868591,96.41914368,91.54920197,94.20851898,97.16967773,98.27455139,98.41701508,96.96334839,98.1330719
561.9403076,95.87431335,97.86363983,97.24929047,98.05497742,98.35168457,96.32463074,91.32305908,94.09365082,97.12505341,98.16657257,98.3336792,96.8232193,97.97637177
561.0393066,95.81752014,97.87234497,97.24047089,98.07312012,98.36334229,96.29311371,91.26094818,94.03900146,97.12123108,98.15354156,98.25538635,96.77545166,98.05452728
559.9879761,95.67650604,97.78751373,97.14983368,97.95833588,98.25408936,96.09430695,90.96381378,93.82302856,96.97489929,98.0120697,98.2162323,96.68256378,97.88864899
558.9362793,95.52859497,97.77619171,97.10697174,97.89510345,98.22762299,96.04265594,90.73249054,93.72241211,96.92964935,98.02750397,98.20770264,96.63954926,97.92710114
558.034668,95.52044678,97.74342346,97.13724518,97.92034912,98.21051788,95.97493744,90.60823822,93.59967041,96.92855835,98.00945282,98.17958069,96.57060242,97.87340546
556.9825439,95.41165161,97.65385437,97.01425934,97.80026245,98.13865662,95.81331635,90.30715179,93.43309021,96.815979,97.94026947,98.08188629,96.48125458,97.75686646
555.9301147,95.27986908,97.61083221,97.02368164,97.75844574,98.1068573,95.73517609,90.11445618,93.30312347,96.74571228,97.8736496,98.08406067,96.49346161,97.75909424
555.0278931,95.20194244,97.51288605,96.96868134,97.71411133,98.07508087,95.65670776,89.94870758,93.17987061,96.67719269,97.84079742,97.98783875,96.32279968,97.66269684
553.9749756,95.07807922,97.44837952,96.88663483,97.60930634,97.98493195,95.48875427,89.62501526,92.93070221,96.57351685,97.74811554,97.93483734,96.2869873,97.65798187
553.0723267,94.89816284,97.37815094,96.79065704,97.54637146,97.87917328,95.3505249,89.36730957,92.75624084,96.46400452,97.75924683,97.95682526,96.28826141,97.58824158
552.0189209,94.87358093,97.35290527,96.81643677,97.50389099,97.88934326,95.19867706,89.14639282,92.63185883,96.42584229,97.65920258,97.86790466,96.13983917,97.53277588
550.965332,94.71062469,97.24267578,96.67989349,97.37672424,97.78656769,95.12737274,88.84709167,92.44190216,96.27775574,97.64003754,97.8119278,96.06632996,97.41440582
550.0620117,94.65441895,97.2386322,96.66564178,97.39874268,97.78497314,95.06807709,88.6798172,92.32229614,96.23999023,97.57223511,97.78330994,96.00930786,97.38529205
